year,sex,age,suicides_no
1985,1,15,142.0
1985,0,15,142.0
1986,1,15,142.0
1986,0,15,142.0
1987,1,15,14.0
1987,0,15,21.0
1988,1,15,8.0
1988,0,15,17.0
1989,1,15,5.0
1989,0,15,12.0
1990,1,15,142.0
1990,0,15,142.0
1991,1,15,142.0
1991,0,15,142.0
1992,1,15,7.0
1992,0,15,9.0
1993,1,15,10.0
1993,0,15,18.0
1994,1,15,6.0
1994,0,15,6.0
1995,1,15,13.0
1995,0,15,11.0
1996,1,15,16.0
1996,0,15,17.0
1997,1,15,21.0
1997,0,15,33.0
1998,1,15,32.0
1998,0,15,27.0
1999,1,15,19.0
1999,0,15,24.0
2000,1,15,6.0
2000,0,15,5.0
2001,1,15,9.0
2001,0,15,10.0
2002,1,15,14.0
2002,0,15,15.0
2003,1,15,14.0
2003,0,15,15.0
2004,1,15,20.0
2004,0,15,19.0
2005,1,15,0.0
2005,0,15,0.0
2006,1,15,0.0
2006,0,15,0.0
2007,1,15,13.0
2007,0,15,13.0
2008,1,15,20.0
2008,0,15,11.0
2009,1,15,0.0
2009,0,15,0.0
2010,1,15,6.0
2010,0,15,10.0
2011,1,15,142.0
2011,0,15,142.0
2012,1,15,142.0
2012,0,15,142.0
2013,1,15,142.0
2013,0,15,142.0
2014,1,15,142.0
2014,0,15,142.0
2015,1,15,142.0
2015,0,15,142.0
1983,1,15,0.0
1983,0,15,0.0
1984,1,15,0.0
1984,0,15,0.0
1985,1,15,0.0
1985,0,15,0.0
1986,1,15,0.0
1986,0,15,0.0
1987,1,15,0.0
1987,0,15,0.0
1988,1,15,0.0
1988,0,15,0.0
1989,1,15,0.0
1989,0,15,0.0
1990,1,15,0.0
1990,0,15,0.0
1991,1,15,0.0
1991,0,15,0.0
1992,1,15,0.0
1992,0,15,0.0
1993,1,15,0.0
1993,0,15,0.0
1994,1,15,0.0
1994,0,15,0.0
1995,1,15,0.0
1995,0,15,0.0
2000,1,15,0.0
2000,0,15,0.0
2001,1,15,0.0
2001,0,15,0.0
2002,1,15,0.0
2002,0,15,0.0
2003,1,15,0.0
2003,0,15,0.0
2004,1,15,0.0
2004,0,15,0.0
2005,1,15,0.0
2005,0,15,0.0
2006,1,15,0.0
2006,0,15,0.0
2008,1,15,0.0
2008,0,15,0.0
2009,1,15,0.0
2009,0,15,0.0
2010,1,15,0.0
2010,0,15,0.0
2011,1,15,0.0
2011,0,15,0.0
2012,1,15,0.0
2012,0,15,0.0
2013,1,15,0.0
2013,0,15,0.0
2014,1,15,0.0
2014,0,15,0.0
2015,1,15,0.0
2015,0,15,0.0
2016,1,15,0.0
2016,0,15,0.0
1983,1,15,0.0
1983,0,15,0.0
1985,1,15,0.0
1985,0,15,0.0
1986,1,15,0.0
1986,0,15,0.0
1987,1,15,0.0
1987,0,15,0.0
1988,1,15,0.0
1988,0,15,0.0
1989,1,15,0.0
1989,0,15,0.0
1990,1,15,0.0
1990,0,15,0.0
1991,1,15,0.0
1991,0,15,0.0
1992,1,15,0.0
1992,0,15,0.0
1993,1,15,0.0
1993,0,15,0.0
1994,1,15,0.0
1994,0,15,0.0
1995,1,15,0.0
1995,0,15,0.0
1998,1,15,0.0
1998,0,15,0.0
1999,1,15,0.0
1999,0,15,0.0
2000,1,15,0.0
2000,0,15,0.0
2001,1,15,0.0
2001,0,15,0.0
2002,1,15,0.0
2002,0,15,0.0
2003,1,15,0.0
2003,0,15,0.0
2004,1,15,0.0
2004,0,15,0.0
2005,1,15,0.0
2005,0,15,0.0
2006,1,15,0.0
2006,0,15,0.0
2007,1,15,0.0
2007,0,15,0.0
2008,1,15,0.0
2008,0,15,0.0
2009,1,15,0.0
2009,0,15,0.0
2012,1,15,0.0
2012,0,15,0.0
2013,1,15,0.0
2013,0,15,0.0
2014,1,15,0.0
2014,0,15,0.0
2015,1,15,0.0
2015,0,15,0.0
1979,1,15,105.0
1979,0,15,141.0
1980,1,15,111.0
1980,0,15,138.0
1981,1,15,100.0
1981,0,15,171.0
1982,1,15,95.0
1982,0,15,151.0
1983,1,15,80.0
1983,0,15,146.0
1984,1,15,67.0
1984,0,15,132.0
1985,1,15,69.0
1985,0,15,156.0
1986,1,15,101.0
1986,0,15,186.0
1987,1,15,93.0
1987,0,15,179.0
1988,1,15,101.0
1988,0,15,211.0
1989,1,15,80.0
1989,0,15,186.0
1990,1,15,91.0
1990,0,15,174.0
1991,1,15,61.0
1991,0,15,179.0
1992,1,15,79.0
1992,0,15,249.0
1993,1,15,73.0
1993,0,15,235.0
1994,1,15,98.0
1994,0,15,250.0
1995,1,15,101.0
1995,0,15,277.0
1996,1,15,105.0
1996,0,15,280.0
1997,1,15,113.0
1997,0,15,260.0
1998,1,15,114.0
1998,0,15,327.0
1999,1,15,101.0
1999,0,15,355.0
2000,1,15,116.0
2000,0,15,463.0
2001,1,15,166.0
2001,0,15,518.0
2002,1,15,158.0
2002,0,15,542.0
2003,1,15,179.0
2003,0,15,638.0
2004,1,15,159.0
2004,0,15,653.0
2005,1,15,148.0
2005,0,15,638.0
2006,1,15,175.0
2006,0,15,656.0
2007,1,15,146.0
2007,0,15,577.0
2008,1,15,180.0
2008,0,15,625.0
2009,1,15,164.0
2009,0,15,609.0
2010,1,15,150.0
2010,0,15,683.0
2011,1,15,172.0
2011,0,15,693.0
2012,1,15,204.0
2012,0,15,745.0
2013,1,15,167.0
2013,0,15,696.0
2014,1,15,204.0
2014,0,15,738.0
2015,1,15,153.0
2015,0,15,656.0
1981,1,15,5.0
1981,0,15,7.0
1982,1,15,0.0
1982,0,15,6.0
1983,1,15,142.0
1983,0,15,142.0
1985,1,15,4.0
1985,0,15,3.0
1986,1,15,5.0
1986,0,15,1.0
1987,1,15,2.0
1987,0,15,6.0
1988,1,15,4.0
1988,0,15,7.0
1989,1,15,1.0
1989,0,15,14.0
1990,1,15,3.0
1990,0,15,10.0
1991,1,15,0.0
1991,0,15,6.0
1992,1,15,1.0
1992,0,15,9.0
1993,1,15,3.0
1993,0,15,7.0
1994,1,15,4.0
1994,0,15,6.0
1995,1,15,3.0
1995,0,15,10.0
1996,1,15,1.0
1996,0,15,4.0
1997,1,15,0.0
1997,0,15,4.0
1998,1,15,0.0
1998,0,15,4.0
1999,1,15,0.0
1999,0,15,6.0
2000,1,15,0.0
2000,0,15,6.0
2001,1,15,0.0
2001,0,15,4.0
2002,1,15,1.0
2002,0,15,5.0
2003,1,15,0.0
2003,0,15,1.0
2004,1,15,142.0
2004,0,15,142.0
2005,1,15,142.0
2005,0,15,142.0
2006,1,15,0.0
2006,0,15,10.0
2007,1,15,3.0
2007,0,15,7.0
2008,1,15,1.0
2008,0,15,3.0
2009,1,15,1.0
2009,0,15,5.0
2010,1,15,2.0
2010,0,15,8.0
2011,1,15,4.0
2011,0,15,7.0
2012,1,15,2.0
2012,0,15,5.0
2013,1,15,1.0
2013,0,15,2.0
2014,1,15,2.0
2014,0,15,3.0
2015,1,15,3.0
2015,0,15,2.0
2016,1,15,1.0
2016,0,15,5.0
1987,1,15,0.0
1987,0,15,0.0
1990,1,15,0.0
1990,0,15,0.0
1995,1,15,0.0
1995,0,15,0.0
1999,1,15,0.0
1999,0,15,2.0
2000,1,15,0.0
2000,0,15,0.0
2001,1,15,0.0
2001,0,15,0.0
2002,1,15,0.0
2002,0,15,1.0
2003,1,15,0.0
2003,0,15,0.0
2004,1,15,1.0
2004,0,15,0.0
2005,1,15,1.0
2005,0,15,0.0
2006,1,15,0.0
2006,0,15,0.0
2007,1,15,0.0
2007,0,15,1.0
2008,1,15,0.0
2008,0,15,0.0
2009,1,15,0.0
2009,0,15,0.0
2010,1,15,0.0
2010,0,15,0.0
2011,1,15,0.0
2011,0,15,1.0
2012,1,15,0.0
2012,0,15,0.0
2013,1,15,0.0
2013,0,15,0.0
2014,1,15,0.0
2014,0,15,0.0
2015,1,15,1.0
2015,0,15,2.0
1979,1,15,71.0
1979,0,15,234.0
1980,1,15,56.0
1980,0,15,229.0
1981,1,15,56.0
1981,0,15,238.0
1982,1,15,39.0
1982,0,15,272.0
1983,1,15,48.0
1983,0,15,247.0
1984,1,15,56.0
1984,0,15,260.0
1985,1,15,69.0
1985,0,15,315.0
1986,1,15,77.0
1986,0,15,296.0
1987,1,15,73.0
1987,0,15,354.0
1988,1,15,53.0
1988,0,15,366.0
1989,1,15,51.0
1989,0,15,353.0
1990,1,15,64.0
1990,0,15,374.0
1991,1,15,84.0
1991,0,15,354.0
1992,1,15,76.0
1992,0,15,384.0
1993,1,15,50.0
1993,0,15,332.0
1994,1,15,55.0
1994,0,15,377.0
1995,1,15,81.0
1995,0,15,318.0
1996,1,15,59.0
1996,0,15,366.0
1997,1,15,86.0
1997,0,15,408.0
1998,1,15,81.0
1998,0,15,353.0
1999,1,15,70.0
1999,0,15,303.0
2000,1,15,78.0
2000,0,15,271.0
2001,1,15,63.0
2001,0,15,280.0
2002,1,15,58.0
2002,0,15,246.0
2003,1,15,48.0
2003,0,15,243.0
2004,1,15,67.0
2004,0,15,205.0
2005,1,15,142.0
2005,0,15,142.0
2006,1,15,68.0
2006,0,15,230.0
2007,1,15,66.0
2007,0,15,234.0
2008,1,15,60.0
2008,0,15,228.0
2009,1,15,66.0
2009,0,15,210.0
2010,1,15,80.0
2010,0,15,222.0
2011,1,15,93.0
2011,0,15,242.0
2012,1,15,109.0
2012,0,15,217.0
2013,1,15,95.0
2013,0,15,267.0
2014,1,15,96.0
2014,0,15,271.0
2015,1,15,110.0
2015,0,15,281.0
1979,1,15,142.0
1979,0,15,142.0
1980,1,15,40.0
1980,0,15,180.0
1981,1,15,64.0
1981,0,15,191.0
1982,1,15,42.0
1982,0,15,215.0
1983,1,15,53.0
1983,0,15,183.0
1984,1,15,50.0
1984,0,15,209.0
1985,1,15,50.0
1985,0,15,207.0
1986,1,15,60.0
1986,0,15,199.0
1987,1,15,49.0
1987,0,15,185.0
1988,1,15,28.0
1988,0,15,168.0
1989,1,15,48.0
1989,0,15,163.0
1990,1,15,31.0
1990,0,15,150.0
1991,1,15,34.0
1991,0,15,153.0
1992,1,15,33.0
1992,0,15,142.0
1993,1,15,35.0
1993,0,15,119.0
1994,1,15,34.0
1994,0,15,136.0
1995,1,15,19.0
1995,0,15,134.0
1996,1,15,12.0
1996,0,15,108.0
1997,1,15,23.0
1997,0,15,121.0
1998,1,15,24.0
1998,0,15,99.0
1999,1,15,25.0
1999,0,15,99.0
2000,1,15,27.0
2000,0,15,106.0
2001,1,15,18.0
2001,0,15,101.0
2002,1,15,17.0
2002,0,15,99.0
2003,1,15,29.0
2003,0,15,91.0
2004,1,15,22.0
2004,0,15,110.0
2005,1,15,18.0
2005,0,15,83.0
2006,1,15,16.0
2006,0,15,77.0
2007,1,15,15.0
2007,0,15,93.0
2008,1,15,18.0
2008,0,15,59.0
2009,1,15,11.0
2009,0,15,72.0
2010,1,15,14.0
2010,0,15,91.0
2011,1,15,23.0
2011,0,15,67.0
2012,1,15,6.0
2012,0,15,66.0
